15189,BGRENERGY-EQ
13400,BHAGERIA-EQ
20776,BHAGYANGR-EQ
21332,BHAGYAPROP-EQ
19556,BHANDARI-EQ
422,BHARATFORG-EQ
426,BHARATGEAR-EQ
3834,BHARATRAS-EQ
16123,BHARATWIRE-EQ
10604,BHARTIARTL-EQ
438,BHEL-EQ
7848,BIL-EQ
21571,BILENERGY-EQ
471,BINDALAGRO-EQ
11373,BIOCON-EQ
477,BIRLACABLE-EQ
480,BIRLACORPN-EQ
15239,BIRLAMONEY-EQ
17586,BIRLATYRE-EQ
7446,BKMINDST-EQ
8132,BLBLIMITED-EQ
19265,BLISSGVS-EQ
13290,BLKASHYAP-EQ
17279,BLS-EQ
7480,BLUECOAST-EQ
495,BLUEDART-EQ
8311,BLUESTARCO-EQ
25017,BODALCHEM-EQ
513,BOMDYEING-EQ
3149,BORORENEW-EQ
2181,BOSCHLTD-EQ
526,BPCL-EQ
530,BPL-EQ
13066,BRFL-EQ
15184,BRIGADE-EQ
547,BRITANNIA-EQ
21683,BRNL-EQ
25136,BROOKS-EQ
19585,BSE-EQ
9647,BSELINFRA-EQ
809,BSHSL-EQ
23804,BSLGOLDETF-EQ
24781,BSLNIFTY-EQ
6994,BSOFT-EQ
15194,BURNPUR-EQ
2716,BUTTERFLY-EQ
7919,BYKE-EQ
7929,CADILAHC-EQ
8341,CALSOFT-EQ
6216,CAMLINFINE-EQ
342,CAMS-EQ
10794,CANBK-EQ
583,CANFINHOME-EQ
20160,CANTABIL-EQ
21749,CAPACITE-EQ
3906,CAPLIPOINT-EQ
19447,CAPTRUST-EQ
595,CARBORUNIV-EQ
20086,CAREERP-EQ
29113,CARERATING-EQ
1250,CASTROLIND-EQ
6385,CCHHL-EQ
11452,CCL-EQ
21174,CDSL-EQ
15254,CEATLTD-EQ
20224,CEBBCO-EQ
13162,CELEBRITY-EQ
619,CENTENKA-EQ
11511,CENTEXT-EQ
14894,CENTRALBK-EQ
2454,CENTRUM-EQ
14982,CENTUM-EQ
13305,CENTURYPLY-EQ
625,CENTURYTEX-EQ
15039,CERA-EQ
30012,CEREBRAINT-EQ
628,CESC-EQ
8119,CESCVENT-EQ
20329,CGCL-EQ
760,CGPOWER-EQ
8546,CHALET-EQ
637,CHAMBLFERT-EQ
14618,CHEMBOND-EQ
270,CHEMCON-EQ
2799,CHEMFAB-EQ
2049,CHENNPETRO-EQ
685,CHOLAFIN-EQ
21740,CHOLAHLDNG-EQ
5142,CIGNITITEC-EQ
27161,CINELINE-EQ
8024,CINEVISTA-EQ
694,CIPLA-EQ
20223,CLEDUCATE-EQ
715,CLNINDIA-EQ
19133,CMICABLES-EQ
31843,CNOVAPETRO-EQ
20374,COALINDIA-EQ
21508,COCHINSHIP-EQ
11543,COFORGE-EQ
15141,COLPAL-EQ
17632,COMPINFO-EQ
31138,COMPUSOFT-EQ
4749,CONCOR-EQ
10238,CONFIPET-EQ
11731,CONSOFINVT-EQ
17477,CONTROLPR-EQ
4007,CORALFINAC-EQ
15271,CORDSCABLE-EQ
739,COROMANDEL-EQ
742,COSMOFILMS-EQ
2328,CPSEETF-EQ
11155,CREATIVE-EQ
9384,CREATIVEYE-EQ
4421,CREDITACC-EQ
13900,CREST-EQ
757,CRISIL-EQ
17094,CROMPTON-EQ
14966,CSBBANK-EQ
14218,CTE-EQ
5701,CUB-EQ
4064,CUBEXTUB-EQ
1901,CUMMINSIND-EQ
18520,CUPID-EQ
6051,CYBERTECH-EQ
5748,CYIENT-EQ
13816,DAAWAT-EQ
772,DABUR-EQ
8075,DALBHARAT-EQ
781,DALMIASUG-EQ
17541,DAMODARIND-EQ
1110,DANGEE-EQ
11423,DATAMATICS-EQ
17881,DBCORP-EQ
18086,DBL-EQ
18124,DBREALTY-EQ
31107,DBSTOCKBRO-EQ
21704,DCAL-EQ
13725,DCBBANK-EQ
805,DCM-EQ
4775,DCMFINSERV-EQ
11039,DCMNVL-EQ
811,DCMSHRIRAM-EQ
817,DCW-EQ
14838,DECCANCE-EQ
827,DEEPAKFERT-EQ
19943,DEEPAKNTR-EQ
15044,DELTACORP-EQ
1214,DELTAMAGNT-EQ
17722,DEN-EQ
4279,DENORA-EQ
19271,DFMFOODS-EQ
10346,DGCONTENT-EQ
857,DHAMPURSUG-EQ
11359,DHANBANK-EQ
15384,DHANI-EQ
24409,DHANUKA-EQ
866,DHARSUGAR-EQ
842,DHFL-EQ
22233,DHUNINV-EQ
21840,DIAMONDYD-EQ
703,DICIND-EQ
16683,DIGISPICE-EQ
14537,DISHTV-EQ
10940,DIVISLAB-EQ
21690,DIXON-EQ
14732,DLF-EQ
17851,DLINKINDIA-EQ
19913,DMART-EQ
641,DNAMEDIA-EQ
12124,DOLAT-EQ
20560,DOLLAR-EQ
13839,DONEAR-EQ
936,DPABHUSHAN-EQ
15419,DPSCLTD-EQ
16900,DPWIRES-EQ
24259,DQE-EQ
11271,DREDGECORP-EQ
881,DRREDDY-EQ
25690,DSSL-EQ
6227,DTIL-EQ
28952,DUCON-EQ
15214,DVL-EQ
11667,DWARKESH-EQ
4525,DYNAMATECH-EQ
21314,DYNPRO-EQ
907,EASTSILK-EQ
11625,EBANK-EQ
16222,EBBETF0423-EQ
22243,EBBETF0425-EQ
16253,EBBETF0430-EQ
22239,EBBETF0431-EQ
24391,EBIXFOREX-EQ
15179,ECLERX-EQ
15119,EDELWEISS-EQ
910,EICHERMOT-EQ
916,EIDPARRY-EQ
15399,EIHAHOTELS-EQ
919,EIHOTEL-EQ
4040,EIMCOELECO-EQ
13091,EKC-EQ
13643,ELECON-EQ
928,ELECTCAST-EQ
4469,ELECTHERM-EQ
12347,ELGIEQUIP-BL
937,ELGIEQUIP-EQ
24924,ELGIRUBCO-EQ
13517,EMAMILTD-EQ
10074,EMAMIPAP-EQ
19277,EMAMIREAL-EQ
13421,EMKAY-EQ
18142,EMMBI-EQ
18822,ENDURANCE-EQ
15049,ENERGYDEV-EQ
4907,ENGINERSIN-EQ
13192,ENIL-EQ
981,EPL-EQ
17175,EQ30-BL
17174,EQ30-EQ
16855,EQUITAS-BL
16852,EQUITAS-EQ
920,EQUITASBNK-BL
913,EQUITASBNK-EQ
21154,ERIS-EQ
20080,EROSMEDIA-EQ
955,ESABINDIA-EQ
958,ESCORTS-EQ
25634,ESSARSHPNG-EQ
24265,ESTER-EQ
17462,EUROMULTI-EQ
999,EUROTEXIND-EQ
11782,EVEREADY-EQ
993,EVERESTIND-EQ
17376,EXCEL-EQ
11471,EXCELINDUS-EQ
676,EXIDEIND-EQ
17486,EXPLEOSOL-EQ
1008,FACT-EQ
6198,FCL-EQ
30038,FCONSUMER-EQ
11999,FCSSOFT-EQ
4898,FDC-EQ
1023,FEDERALBNK-EQ
10516,FEL-EQ
17002,FELDVR-EQ
13710,FIEMIND-EQ
5252,FIFMPS4EQP-MF
8282,FIFMPS5EQP-MF
24532,FILATEX-EQ
3212,FIMPS3EQDD-MF
3213,FIMPS3EQDP-MF
1038,FINCABLES-EQ
3744,FINEORG-EQ
1041,FINPIPE-EQ
25512,FLEXITUFF-EQ
